Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.34128207,0.8031915,39.075634,39.122906,15.393795,4.9179807,52.68355,-58.165726,158.44196,93.45484,-1217.5507,-52.369305,157.2066,95.39512,-1220.7876,-1.9012038,2.1683114,15.592174,-11.9892845,-0.06337716,0.60517645,2.7424598,-3.4367726,-0.4751329,0.25627506,0.22371793,-2.2299547,-35.11365947575194,-40.54242353712038,-33.067679770758666,168000,568000,0,1824.7556736039987,45.31528294199961,4.111764241970377,1874.1827207879687,82398.90512870018,41
0.35092834,0.79815173,41.681034,41.805004,12.321813,3.969317,10.417504,-15.419204,146.87444,153.90926,-1181.7789,-10.803015,144.54497,155.35074,-1165.8918,-2.2546344,2.0593507,18.830761,-11.455141,-0.023076752,0.55600214,2.75618,-2.9892673,-0.447229,0.2455065,0.11069411,-2.0706172,-38.541378349464054,-37.38895805599486,-37.38366574868236,172000,572000,0,1831.1558470360178,43.06227548699826,4.213773749041138,1878.4318962720572,84276.71836736922,42
0.3047853,0.7945495,45.82025,45.851097,23.985203,6.298441,108.67412,-114.507324,168.64685,97.07704,-1330.698,-108.779366,166.29727,99.69083,-1320.7782,-1.5889255,2.3810651,16.488066,-10.472473,-0.047295216,0.659503,3.0191336,-2.6146214,-0.49671248,0.26884574,0.14668167,-2.3191156,-33.105387254344805,-33.10392075730305,-33.536004533490434,176000,576000,0,1836.4830579839763,42.445513451995794,4.317294606997166,1883.2458660429693,86163.5053674312,43
0.21772513,0.7985376,38.58865,38.680073,9.905723,4.727082,-16.223867,11.573132,147.07762,148.18303,-1088.5553,16.178272,146.0046,150.3894,-1085.3448,-2.5228565,1.8663286,8.862664,-12.023835,0.016176876,0.504197,2.2781053,-2.3104024,-0.42154777,0.23767179,0.123441994,-2.2678444,-36.09055793841346,-38.03195595759696,-32.136245143614765,180000,580000,0,1823.1979866229813,45.98592057399219,3.9173160379577894,1873.1012232349312,88030.30675711513,44
0.23812059,0.7959401,35.147602,35.203915,12.230313,4.2571616,-15.268388,10.184518,90.35623,125.18743,-470.84174,15.159341,87.10552,126.759,-447.8382,-2.3169389,2.0223453,19.149984,-13.725388,-0.02095887,0.5414205,2.839581,-2.8814032,-0.44421545,0.24744195,0.14340714,-2.1199226,-38.01847576974883,-36.942301783468835,-33.474223084570895,184000,584000,0,1824.256590117002,39.68590821599355,4.154863305971958,1868.0973616389674,89901.57977520312,45
0.0483152,0.7913171,38.468334,38.548443,12.86356,4.407831,10.379454,-15.854725,155.17336,149.15587,-1171.4678,-10.564514,152.97249,150.67941,-1166.2212,-2.2910726,2.031151,16.979042,-11.960182,-0.034186006,0.5462429,2.5858176,-3.7721267,-0.45183158,0.24432246,0.079373196,-2.2214541,-37.74447984420226,-39.04400117572139,-33.05059562280059,188000,588000,0,1831.2697325269983,42.86214405100327,4.177721943880897,1878.3095985218824,91780.08282591101,46
0.21396784,0.78562224,38.957413,38.99153,13.952524,5.7388716,52.797497,-57.66252,155.27254,127.4022,-1092.5363,-53.606857,154.08595,128.2712,-1086.3695,-2.065917,2.1911054,18.351398,-11.563771,-0.044548053,0.58621323,2.7676764,-3.1433947,-0.4551938,0.25643465,0.23670998,-2.2630365,-40.5154406376958,-40.19682735997749,-36.4791833075886,192000,592000,0,1836.9465900750074,43.05764332500985,3.739242490992183,1883.7434758910094,93665.47803468206,47
0.010083318,0.7846292,38.65463,38.692345,12.971764,7.253043,20.503988,-26.042908,158.2057,128.487,-1213.035,-20.386787,155.04747,130.16643,-1200.0276,-2.2228663,1.999551,11.238026,-12.42264,-0.011586824,0.555008,2.6323586,-2.6128225,-0.4515954,0.25050166,0.19476724,-2.029935,-40.0949856241382,-39.115115014846076,-36.11807381624262,196000,596000,0,1820.1119136179914,44.7077131739934,4.371753125014948,1869.1913799169997,95536.61842593508,48
0.09155293,0.794193,37.850243,37.92897,20.542625,9.002712,8.739193,-15.097036,132.51962,149.00365,-1149.7174,-10.626343,130.47316,149.71889,-1151.5858,-2.1549695,2.0970588,18.81966,-11.068204,-0.034854654,0.5585424,2.7945874,-2.718512,-0.47006193,0.25607657,0.12106758,-2.1039946,-35.80306296558134,-36.99560376914401,-33.6403882696712,200000,600000,0,1831.1328529710008,46.65704018098768,4.464098547992762,1882.2539916999813,97416.68218891106,49
0.08584789,0.79289806,38.387043,38.466095,11.31337,6.6703787,26.143972,-30.890919,136.16556,101.69291,-1198.2236,-25.107212,134.50136,103.238144,-1204.3937,-2.1558814,2.0154974,14.402085,-11.397343,-0.05713313,0.558588,2.5296044,-2.5402403,-0.4694723,0.2516714,0.14628352,-2.2160082,-31.268617295769825,-31.99472003105259,-30.976372388406926,204000,604000,0,1835.906246063998,44.46686981199309,4.203502280986868,1884.576618156978,99300.71578322108,50
